Rk,Gls,Sh,SoT,SoT%,SoT/90,G/Sh,PK,PKatt,xG
2485,0,1,0,0.0,0.00,0.00,0,0,0.0
2486,3,54,13,24.1,0.41,0.06,0,0,3.2
2487,1,6,2,33.3,0.18,0.17,0,0,0.2
2488,0,3,1,33.3,0.78,0.00,0,0,0.2
2489,3,19,7,36.8,0.67,0.16,0,0,0.6
2490,1,8,2,25.0,0.15,0.13,0,0,0.8
2491,0,0,0,,0.00,,0,0,0.0
2492,0,3,1,33.3,0.25,0.00,0,0,0.2
2493,6,39,18,46.2,1.63,0.15,0,0,7.0
2494,2,13,6,46.2,1.00,0.15,0,0,2.1
2495,1,16,3,18.8,0.42,0.06,0,0,1.3
2496,1,8,2,25.0,0.08,0.13,0,0,0.8
2497,2,27,11,40.7,0.38,0.07,0,0,2.5
2498,4,33,14,42.4,1.17,0.09,1,1,4.0
2499,1,17,3,17.6,0.11,0.06,0,0,1.0
2500,1,9,2,22.2,0.11,0.11,0,0,1.3
2501,1,7,3,42.9,0.21,0.14,0,0,0.6
2502,0,10,3,30.0,0.15,0.00,0,0,0.6
2503,1,27,7,25.9,0.21,0.04,0,0,0.9
2504,0,6,1,16.7,0.13,0.00,0,0,0.3
2505,0,3,0,0.0,0.00,0.00,0,0,0.2
2506,0,5,1,20.0,0.13,0.00,0,0,0.3
2507,7,61,21,34.4,1.02,0.08,2,2,7.2
2508,1,21,6,28.6,0.36,0.05,0,0,1.6
2509,4,33,9,27.3,0.36,0.12,0,0,3.6
2510,3,16,10,62.5,0.56,0.19,0,0,1.6
2511,2,9,2,22.2,0.06,0.22,0,0,1.2
2512,7,72,19,26.4,0.63,0.03,5,5,8.1
2513,0,7,0,0.0,0.00,0.00,0,0,0.2
2514,1,2,1,50.0,0.06,0.50,0,0,0.5
2515,1,4,2,50.0,1.02,0.25,0,0,0.6
2516,1,11,3,27.3,0.93,0.09,0,0,0.7
2517,3,33,8,24.2,0.32,0.03,2,2,3.0
2518,1,14,5,35.7,0.30,0.07,0,0,1.6
2519,2,27,9,33.3,0.46,0.07,0,0,1.3
2520,1,12,5,41.7,0.35,0.08,0,0,0.3
2521,0,10,4,40.0,1.09,0.00,0,0,0.7
2522,1,17,4,23.5,0.36,0.06,0,0,1.2
2523,0,0,0,,0.00,,0,0,0.0
2524,4,43,12,27.9,0.41,0.09,0,0,3.5
2525,1,1,1,100.0,3.33,1.00,0,0,0.1
2526,1,35,11,31.4,0.79,0.03,0,0,3.1
2527,0,5,1,20.0,0.05,0.00,0,0,0.1
2528,0,22,5,22.7,0.19,0.00,0,0,1.0
2529,0,4,0,0.0,0.00,0.00,0,0,0.2
2530,0,9,0,0.0,0.00,0.00,0,0,1.0
2531,0,0,0,,0.00,,0,0,0.0
2532,1,11,2,18.2,0.12,0.09,0,0,0.5
2533,0,0,0,,0.00,,0,0,0.0
2534,0,0,0,,0.00,,0,0,0.0
2535,6,50,17,34.0,0.78,0.12,0,0,3.7
2536,2,24,9,37.5,0.52,0.04,1,1,2.5
2537,0,5,3,60.0,0.09,0.00,0,0,0.2
2538,0,0,0,,0.00,,0,0,0.0
2539,0,3,0,0.0,0.00,0.00,0,0,0.2
2540,0,5,0,0.0,0.00,0.00,0,0,0.7
2541,5,42,13,31.0,0.58,0.12,0,0,4.7
2542,0,11,2,18.2,0.16,0.00,0,0,0.4
2543,0,0,0,,0.00,,0,0,0.0
2544,0,6,0,0.0,0.00,0.00,0,0,0.4
2545,0,0,0,,0.00,,0,0,0.0
2546,0,3,0,0.0,0.00,0.00,0,0,0.2
2547,0,3,1,33.3,0.08,0.00,0,0,0.3
2548,6,36,15,41.7,0.83,0.17,0,0,3.7
2549,3,18,6,33.3,0.57,0.17,0,0,2.5
2550,0,0,0,,0.00,,0,0,0.0
2551,0,0,0,,0.00,,0,0,0.0
2552,0,0,0,,0.00,,0,0,0.0
2553,6,57,23,40.4,0.88,0.07,2,3,9.2
2554,3,26,9,34.6,0.93,0.12,0,0,1.9
2555,0,14,4,28.6,0.15,0.00,0,0,1.8
2556,5,41,15,36.6,1.16,0.10,1,3,6.4
2557,0,8,3,37.5,0.76,0.00,0,0,1.1
2558,0,0,0,,0.00,,0,0,0.0
2559,3,17,5,29.4,0.37,0.12,1,1,1.9
2560,0,17,3,17.6,0.16,0.00,0,0,0.5
