Rk,Gls,Sh,SoT,SoT%,SoT/90,G/Sh,PK,PKatt,xG
47,1,14,4,28.6,0.11,0.07,0,0,1.4
48,0,10,2,20.0,0.21,0.00,0,0,0.6
49,4,25,8,32.0,0.78,0.16,0,0,3.2
50,5,15,7,46.7,1.19,0.33,0,0,3.8
51,3,19,8,42.1,0.41,0.16,0,0,2.5
52,2,33,8,24.2,0.37,0.06,0,0,1.7
53,2,16,5,31.3,0.15,0.13,0,0,1.1
54,1,2,1,50.0,0.05,0.50,0,0,0.1
55,0,0,0,,0.00,,0,0,0.0
56,0,1,1,100.0,0.52,0.00,0,0,0.0
57,1,12,4,33.3,0.49,0.08,0,0,1.1
58,0,0,0,,0.00,,0,0,0.0
59,4,44,13,29.5,0.37,0.09,0,0,2.9
60,0,0,0,,0.00,,0,0,0.0
61,6,58,21,36.2,1.21,0.10,0,0,5.3
62,0,0,0,,0.00,,0,0,0.0
63,2,12,7,58.3,0.49,0.17,0,0,0.7
64,8,39,18,46.2,0.88,0.18,1,1,6.9
65,4,55,17,30.9,0.51,0.07,0,0,6.4
66,4,30,8,26.7,0.50,0.13,0,0,2.0
67,0,8,0,0.0,0.00,0.00,0,0,0.2
68,0,0,0,,0.00,,0,0,0.0
69,0,4,0,0.0,0.00,0.00,0,0,0.2
70,0,12,2,16.7,0.06,0.00,0,0,1.2
71,0,23,1,4.3,0.03,0.00,0,0,1.0
72,0,13,3,23.1,0.23,0.00,0,0,1.2
73,0,6,1,16.7,0.12,0.00,0,0,1.0
74,0,4,0,0.0,0.00,0.00,0,0,0.4
75,1,11,2,18.2,0.11,0.09,0,0,0.3
76,0,0,0,,0.00,,0,0,0.0
77,1,15,4,26.7,0.17,0.07,0,0,0.6
78,0,23,4,17.4,0.66,0.00,0,0,1.4
79,0,8,3,37.5,0.17,0.00,0,0,0.7
80,1,43,18,41.9,0.87,0.02,0,0,2.5
81,0,1,0,0.0,0.00,0.00,0,0,0.2
82,0,16,5,31.3,0.90,0.00,0,0,0.9
83,1,17,6,35.3,0.18,0.00,1,1,1.9
84,1,10,1,10.0,0.06,0.10,0,0,0.9
85,0,1,0,0.0,0.00,0.00,0,0,0.1
86,1,23,8,34.8,0.48,0.04,0,0,2.5
87,12,61,35,57.4,1.17,0.18,1,2,12.3
88,1,1,1,100.0,1.23,1.00,0,0,0.1
89,2,16,3,18.8,0.13,0.13,0,0,1.0
90,0,0,0,,0.00,,0,0,0.0
91,1,50,7,14.0,0.24,0.02,0,0,1.9
92,0,4,0,0.0,0.00,0.00,0,0,0.1
93,1,13,4,30.8,0.46,0.08,0,1,2.4
94,0,0,0,,0.00,,0,0,0.0
95,1,24,7,29.2,0.27,0.04,0,0,0.6
96,1,5,2,40.0,0.16,0.20,0,0,0.7
97,0,5,0,0.0,0.00,0.00,0,0,0.3
98,0,1,0,0.0,0.00,0.00,0,0,0.0
99,0,14,4,28.6,0.34,0.00,0,0,0.8
100,4,28,8,28.6,0.41,0.14,0,0,1.4
101,0,1,1,100.0,7.50,0.00,0,0,0.1
102,10,67,30,44.8,1.53,0.13,1,1,11.6
103,0,1,0,0.0,0.00,0.00,0,0,0.1
104,0,3,0,0.0,0.00,0.00,0,0,0.2
105,0,0,0,,0.00,,0,0,0.0
106,1,47,10,21.3,0.36,0.02,0,0,4.6
107,0,1,0,0.0,0.00,0.00,0,0,0.0
108,3,45,17,37.8,0.78,0.07,0,0,3.7
109,0,0,0,,0.00,,0,0,0.0
110,0,1,0,0.0,0.00,0.00,0,0,0.0
111,1,46,7,15.2,0.21,0.02,0,0,1.9
112,0,1,0,0.0,0.00,0.00,0,0,0.0
113,1,15,2,13.3,0.08,0.07,0,0,1.4
114,2,24,11,45.8,1.20,0.08,0,0,1.3
115,1,12,3,25.0,0.09,0.08,0,0,0.8
116,0,1,0,0.0,0.00,0.00,0,0,0.2
117,1,14,2,14.3,0.09,0.07,0,0,0.7
118,0,0,0,,0.00,,0,0,0.0
119,0,0,0,,0.00,,0,0,0.0
120,0,6,2,33.3,0.17,0.00,0,0,0.5
121,0,0,0,,0.00,,0,0,0.0
122,5,46,19,41.3,1.00,0.11,0,0,2.8
123,2,21,6,28.6,0.68,0.10,0,0,1.2
124,0,11,5,45.5,1.34,0.00,0,0,0.5
125,4,63,17,27.0,0.54,0.06,0,0,2.4
126,0,0,0,,0.00,,0,0,0.0
127,0,3,0,0.0,0.00,0.00,0,0,0.1
128,0,2,0,0.0,0.00,0.00,0,0,0.0
129,0,0,0,,0.00,,0,0,0.0
130,3,9,5,55.6,1.34,0.33,0,0,1.7
131,1,1,1,100.0,1.18,1.00,0,0,0.0
132,14,78,31,39.7,0.86,0.12,5,7,13.9
133,2,11,6,54.5,1.02,0.18,0,0,1.7
134,0,1,0,0.0,0.00,0.00,0,0,0.0
135,0,5,1,20.0,0.12,0.00,0,0,0.2
136,1,19,9,47.4,0.81,0.05,0,0,1.5
137,22,90,40,44.4,1.15,0.22,2,2,15.6
138,0,0,0,,0.00,,0,0,0.0
139,0,0,0,,0.00,,0,0,0.0
140,0,7,3,42.9,1.02,0.00,0,0,0.5
141,0,5,0,0.0,0.00,0.00,0,0,0.2
142,1,13,4,30.8,0.13,0.08,0,0,0.5
143,2,27,9,33.3,0.66,0.07,0,0,2.0
144,9,68,27,39.7,1.53,0.13,0,0,7.1
145,1,5,2,40.0,0.98,0.20,0,0,0.5
146,0,10,0,0.0,0.00,0.00,0,0,0.7
147,1,13,3,23.1,0.56,0.08,0,0,1.9
148,0,27,7,25.9,0.46,0.00,0,0,3.1
149,9,56,24,42.9,0.69,0.16,0,0,6.2
150,2,28,4,14.3,0.13,0.07,0,0,2.5
151,2,19,3,15.8,0.20,0.11,0,0,1.9
152,2,29,6,20.7,0.17,0.07,0,0,2.6
153,0,2,0,0.0,0.00,0.00,0,0,0.1
154,0,15,2,13.3,0.06,0.00,0,0,0.9
155,3,47,16,34.0,1.01,0.06,0,2,6.1
156,2,17,6,35.3,0.78,0.12,0,0,3.1
157,1,16,2,12.5,0.11,0.06,0,0,1.3
158,0,0,0,,0.00,,0,0,0.0
159,0,1,0,0.0,0.00,0.00,0,0,0.0
160,0,0,0,,0.00,,0,0,0.0
161,4,20,9,45.0,0.89,0.15,1,1,3.0
162,1,16,2,12.5,0.09,0.06,0,0,0.5
163,5,31,11,35.5,0.91,0.16,0,0,4.2
164,0,0,0,,0.00,,0,0,0.0
165,1,3,1,33.3,0.07,0.33,0,0,0.5
166,0,1,0,0.0,0.00,0.00,0,0,0.0
167,0,0,0,,0.00,,0,0,0.0
168,1,24,8,33.3,0.42,0.04,0,0,1.8
169,0,12,5,41.7,0.83,0.00,0,0,0.4
170,0,0,0,,0.00,,0,0,0.0
171,1,22,6,27.3,0.23,0.05,0,0,1.1
172,1,10,4,40.0,0.31,0.10,0,0,1.8
173,4,28,13,46.4,1.36,0.14,0,0,4.2
174,2,13,5,38.5,0.13,0.15,0,0,0.9
175,2,34,13,38.2,1.07,0.06,0,0,3.5
176,0,3,0,0.0,0.00,0.00,0,0,0.1
177,0,0,0,,0.00,,0,0,0.0
178,0,0,0,,0.00,,0,0,0.0
179,0,5,2,40.0,0.11,0.00,0,0,0.6
180,0,7,3,42.9,0.67,0.00,0,0,0.2
181,5,71,24,33.8,1.54,0.07,0,0,7.2
182,0,1,0,0.0,0.00,0.00,0,0,0.0
183,1,44,23,52.3,1.07,0.00,1,3,5.1
184,3,38,8,21.1,0.29,0.03,2,2,3.0
185,4,17,7,41.2,0.29,0.24,0,0,3.3
186,0,4,2,50.0,0.93,0.00,0,0,0.1
187,2,34,13,38.2,0.85,0.06,0,0,3.2
188,0,1,1,100.0,0.20,0.00,0,0,0.0
189,0,5,1,20.0,0.08,0.00,0,0,0.4
190,0,0,0,,0.00,,0,0,0.0
191,7,56,18,32.1,0.77,0.13,0,0,4.5
192,0,12,5,41.7,0.24,0.00,0,0,0.2
193,1,24,5,20.8,0.22,0.04,0,0,1.7
194,0,5,0,0.0,0.00,0.00,0,0,0.2
195,1,16,3,18.8,0.16,0.06,0,0,1.2
196,0,6,3,50.0,0.86,0.00,0,0,0.5
197,1,40,12,30.0,0.98,0.03,0,0,2.1
198,0,0,0,,0.00,,0,0,0.0
199,6,39,11,28.2,0.73,0.13,1,1,5.6
200,6,61,27,44.3,1.17,0.10,0,0,8.4
201,0,2,0,0.0,0.00,0.00,0,0,0.1
202,0,6,3,50.0,0.25,0.00,0,0,0.2
203,0,7,1,14.3,0.10,0.00,0,0,0.4
204,0,15,5,33.3,1.02,0.00,0,0,0.8
205,0,1,1,100.0,1.00,0.00,0,0,0.0
206,9,66,21,31.8,1.40,0.12,1,1,5.9
207,0,10,4,40.0,1.89,0.00,0,1,1.8
208,0,7,3,42.9,0.79,0.00,0,0,0.4
209,3,21,5,23.8,0.18,0.14,0,0,1.6
210,0,7,3,42.9,0.21,0.00,0,0,0.7
211,0,6,0,0.0,0.00,0.00,0,0,0.5
212,1,17,4,23.5,0.36,0.06,0,0,0.9
213,0,1,0,0.0,0.00,0.00,0,0,0.0
214,0,6,2,33.3,0.51,0.00,0,0,0.2
215,0,16,5,31.3,0.43,0.00,0,0,1.2
216,0,0,0,,0.00,,0,0,0.0
217,2,8,4,50.0,0.19,0.25,0,0,1.2
218,1,7,2,28.6,0.24,0.14,0,0,0.8
219,0,0,0,,0.00,,0,0,0.0
220,1,15,2,13.3,0.75,0.07,0,0,2.2
221,3,20,6,30.0,0.39,0.15,0,1,1.7
222,0,0,0,,0.00,,0,0,0.0
223,2,17,5,29.4,0.25,0.12,0,0,1.8
224,7,56,23,41.1,1.39,0.13,0,0,7.9
225,1,4,3,75.0,0.71,0.25,0,0,0.4
226,6,35,16,45.7,0.69,0.17,0,0,4.3
227,1,8,2,25.0,0.08,0.13,0,0,0.5
228,0,7,4,57.1,0.67,0.00,0,0,0.2
229,0,5,1,20.0,0.27,0.00,0,0,0.2
230,1,7,1,14.3,0.03,0.14,0,0,0.9
231,0,0,0,,0.00,,0,0,0.0
232,0,5,1,20.0,0.08,0.00,0,0,0.2
233,0,6,3,50.0,2.48,0.00,0,0,1.4
234,0,3,0,0.0,0.00,0.00,0,0,0.1
235,0,10,2,20.0,0.67,0.00,0,0,1.1
236,0,7,3,42.9,0.15,0.00,0,0,0.6
237,0,0,0,,0.00,,0,0,0.0
238,0,2,0,0.0,0.00,0.00,0,0,0.1
239,4,55,25,45.5,1.58,0.07,0,0,5.9
240,0,18,5,27.8,0.30,0.00,0,0,0.9
241,1,7,2,28.6,0.16,0.14,0,0,0.5
242,16,95,33,34.7,0.99,0.09,7,8,16.8
243,1,14,4,28.6,0.20,0.07,0,0,1.3
244,0,0,0,,0.00,,0,0,0.0
245,0,2,0,0.0,0.00,0.00,0,0,0.0
246,18,63,34,54.0,1.41,0.24,3,3,13.1
247,1,21,4,19.0,0.37,0.05,0,0,1.0
248,0,5,3,60.0,0.77,0.00,0,0,0.3
249,2,15,2,13.3,0.13,0.13,0,0,0.7
250,2,18,4,22.2,0.13,0.11,0,0,1.3
251,11,60,27,45.0,1.16,0.18,0,1,9.8
252,0,21,6,28.6,0.60,0.00,0,0,1.1
253,0,0,0,,0.00,,0,0,0.0
254,1,11,2,18.2,0.09,0.09,0,0,0.8
255,0,1,0,0.0,0.00,0.00,0,0,0.6
256,1,15,1,6.7,0.04,0.07,0,0,0.9
257,0,0,0,,0.00,,0,0,0.0
258,0,0,0,,0.00,,0,0,0.0
259,0,0,0,,0.00,,0,0,0.0
260,0,3,0,0.0,0.00,0.00,0,0,0.3
261,2,23,10,43.5,1.18,0.09,0,0,2.1
262,5,20,7,35.0,0.44,0.15,2,2,3.5
263,0,4,0,0.0,0.00,0.00,0,0,0.1
264,0,16,3,18.8,0.12,0.00,0,0,0.7
265,2,42,19,45.2,1.36,0.05,0,0,5.0
266,0,0,0,,0.00,,0,0,0.0
267,21,118,54,45.8,1.55,0.14,5,5,17.5
268,0,4,0,0.0,0.00,0.00,0,0,0.1
269,14,116,45,38.8,1.62,0.10,2,3,10.0
270,2,35,9,25.7,0.28,0.06,0,0,1.4
271,6,40,13,32.5,0.64,0.15,0,0,4.3
272,0,17,1,5.9,0.04,0.00,0,0,0.4
273,1,11,2,18.2,0.29,0.09,0,0,1.1
274,0,1,0,0.0,0.00,0.00,0,0,0.2
275,1,5,2,40.0,0.19,0.20,0,0,0.4
276,3,9,4,44.4,0.51,0.33,0,0,1.2
277,1,7,1,14.3,0.22,0.14,0,0,1.3
278,0,0,0,,0.00,,0,0,0.0
279,0,0,0,,0.00,,0,0,0.0
280,0,12,3,25.0,0.29,0.00,0,0,0.8
281,0,0,0,,0.00,,0,0,0.0
282,3,12,4,33.3,0.28,0.25,0,0,1.1
283,1,51,9,17.6,0.52,0.02,0,0,4.7
284,0,7,2,28.6,0.27,0.00,0,0,0.2
285,0,0,0,,0.00,,0,0,0.0
286,0,6,1,16.7,0.06,0.00,0,0,0.5
287,0,0,0,,0.00,,0,0,0.0
288,0,4,2,50.0,0.34,0.00,0,0,0.1
289,1,19,4,21.1,0.13,0.05,0,0,1.7
290,0,4,2,50.0,0.72,0.00,0,0,0.1
291,0,0,0,,0.00,,0,0,0.0
292,2,8,2,25.0,0.15,0.25,0,0,0.6
293,3,8,5,62.5,0.25,0.38,0,0,1.6
294,0,6,1,16.7,0.13,0.00,0,0,0.2
295,3,9,4,44.4,0.79,0.11,2,2,3.6
296,1,34,8,23.5,0.28,0.03,0,0,2.4
297,2,10,6,60.0,0.34,0.20,0,0,0.9
298,0,6,2,33.3,0.09,0.00,0,0,0.3
299,0,3,0,0.0,0.00,0.00,0,0,0.1
300,1,26,9,34.6,0.38,0.04,0,0,2.4
301,1,16,6,37.5,0.43,0.06,0,0,0.4
302,0,1,0,0.0,0.00,0.00,0,0,0.0
303,4,42,11,26.2,0.52,0.10,0,0,3.4
304,0,9,3,33.3,0.34,0.00,0,0,0.7
305,0,0,0,,0.00,,0,0,0.0
306,5,46,20,43.5,0.98,0.11,0,0,2.6
307,2,13,4,30.8,0.22,0.08,1,1,2.5
308,0,0,0,,0.00,,0,0,0.0
309,0,2,0,0.0,0.00,0.00,0,0,0.2
310,0,6,2,33.3,0.10,0.00,0,0,0.4
311,1,18,4,22.2,0.60,0.06,0,0,1.7
312,0,2,0,0.0,0.00,0.00,0,0,0.0
313,2,20,5,25.0,0.69,0.10,0,0,1.0
314,0,0,0,,0.00,,0,0,0.0
315,1,4,2,50.0,2.05,0.25,0,0,0.3
316,0,9,4,44.4,0.18,0.00,0,0,0.7
317,4,37,12,32.4,0.48,0.11,0,0,2.9
318,0,1,0,0.0,0.00,0.00,0,0,0.1
319,11,57,20,35.1,0.72,0.19,0,0,4.8
320,0,0,0,,0.00,,0,0,0.0
321,1,18,2,11.1,0.16,0.06,0,0,0.8
322,0,4,3,75.0,0.14,0.00,0,0,0.3
323,3,44,14,31.8,0.94,0.07,0,0,3.7
324,6,42,16,38.1,1.94,0.14,0,0,4.1
325,0,0,0,,0.00,,0,0,0.0
326,1,3,1,33.3,0.36,0.33,0,0,0.2
327,1,5,1,20.0,0.08,0.20,0,0,1.1
328,0,0,0,,0.00,,0,0,0.0
329,3,23,8,34.8,0.23,0.13,0,0,3.1
330,3,38,14,36.8,1.56,0.05,1,1,2.9
331,0,2,0,0.0,0.00,0.00,0,0,0.1
332,0,0,0,,0.00,,0,0,0.0
333,0,0,0,,0.00,,0,0,0.0
334,6,18,7,38.9,0.26,0.33,0,0,2.7
335,0,6,1,16.7,0.30,0.00,0,0,0.2
336,0,5,0,0.0,0.00,0.00,0,0,0.2
337,10,76,34,44.7,1.50,0.09,3,3,9.2
338,1,4,4,100.0,0.73,0.25,0,0,1.1
339,1,24,5,20.8,0.28,0.00,1,1,1.8
340,0,21,7,33.3,0.82,0.00,0,0,1.0
341,0,6,0,0.0,0.00,0.00,0,0,0.4
342,2,24,9,37.5,0.99,0.08,0,0,2.2
343,0,0,0,,0.00,,0,0,0.0
344,1,10,5,50.0,0.49,0.10,0,0,0.3
345,2,40,10,25.0,0.47,0.05,0,0,2.4
346,0,0,0,,0.00,,0,0,0.0
347,1,24,7,29.2,0.69,0.04,0,0,1.8
348,4,18,4,22.2,0.15,0.22,0,0,1.5
349,2,5,2,40.0,0.09,0.40,0,0,1.3
350,0,4,2,50.0,0.77,0.00,0,0,0.1
351,0,5,0,0.0,0.00,0.00,0,0,0.4
352,0,5,4,80.0,0.51,0.00,0,0,0.5
353,1,12,1,8.3,0.20,0.08,0,0,1.1
354,1,13,8,61.5,1.77,0.08,0,0,2.8
355,6,40,16,40.0,0.74,0.15,0,1,6.6
356,0,0,0,,0.00,,0,0,0.0
357,0,9,2,22.2,0.44,0.00,0,0,0.9
358,3,33,15,45.5,0.61,0.09,0,0,4.0
359,0,0,0,,0.00,,0,0,0.0
360,0,21,7,33.3,0.28,0.00,0,0,1.8
361,13,35,20,57.1,1.69,0.37,0,0,8.1
362,0,0,0,,0.00,,0,0,0.0
363,3,42,15,35.7,0.81,0.07,0,0,3.4
364,3,11,6,54.5,0.24,0.27,0,0,1.3
365,0,0,0,,0.00,,0,0,0.0
366,1,17,3,17.6,0.16,0.06,0,0,1.4
367,7,27,10,37.0,0.59,0.22,1,1,5.7
368,0,7,0,0.0,0.00,0.00,0,0,0.5
369,0,0,0,,0.00,,0,0,0.0
370,0,2,1,50.0,0.11,0.00,0,0,0.0
371,1,6,2,33.3,0.36,0.17,0,0,0.8
372,0,12,4,33.3,0.16,0.00,0,0,1.4
373,2,22,7,31.8,0.37,0.05,1,1,1.6
374,0,5,0,0.0,0.00,0.00,0,0,0.5
375,3,56,16,28.6,0.53,0.05,0,0,3.3
376,0,10,1,10.0,0.06,0.00,0,0,0.2
377,0,9,2,22.2,0.22,0.00,0,0,1.3
378,0,7,0,0.0,0.00,0.00,0,0,0.4
379,0,4,1,25.0,0.23,0.00,0,0,0.3
380,0,0,0,,0.00,,0,0,0.0
381,1,14,4,28.6,0.65,0.07,0,0,0.9
382,0,0,0,,0.00,,0,0,0.0
383,0,0,0,,0.00,,0,0,0.0
384,13,54,20,37.0,0.65,0.20,2,2,10.3
385,1,40,11,27.5,0.40,0.03,0,0,2.3
386,0,0,0,,0.00,,0,0,0.0
387,7,40,15,37.5,0.58,0.18,0,0,2.7
388,1,2,1,50.0,0.08,0.50,0,0,0.7
389,0,35,8,22.9,0.58,0.00,0,0,4.6
390,0,0,0,,0.00,,0,0,0.0
391,1,7,2,28.6,0.71,0.14,0,0,0.8
392,1,20,9,45.0,0.57,0.05,0,0,3.2
393,0,0,0,,0.00,,0,0,0.0
394,0,13,0,0.0,0.00,0.00,0,0,1.3
395,1,7,1,14.3,0.06,0.14,0,0,0.2
396,2,10,4,40.0,0.14,0.20,0,0,1.2
397,0,7,3,42.9,0.10,0.00,0,0,0.4
398,0,0,0,,0.00,,0,0,0.0
399,0,0,0,,0.00,,0,0,0.0
400,0,16,2,12.5,0.14,0.00,0,0,1.1
401,0,1,0,0.0,0.00,0.00,0,0,0.1
402,0,4,0,0.0,0.00,0.00,0,0,0.2
403,0,0,0,,0.00,,0,0,0.0
404,0,11,3,27.3,0.31,0.00,0,0,0.6
405,0,0,0,,0.00,,0,0,0.0
406,0,1,1,100.0,2.43,0.00,0,0,0.0
407,2,9,3,33.3,0.18,0.22,0,0,0.9
408,0,1,0,0.0,0.00,0.00,0,0,0.0
409,0,4,0,0.0,0.00,0.00,0,0,0.3
410,1,12,3,25.0,0.11,0.08,0,0,2.0
411,1,4,3,75.0,0.39,0.25,0,0,0.2
412,2,30,12,40.0,1.35,0.07,0,0,2.5
413,1,38,14,36.8,1.36,0.00,1,1,2.8
414,0,1,0,0.0,0.00,0.00,0,0,0.1
415,0,20,5,25.0,0.21,0.00,0,0,1.2
416,9,30,14,46.7,0.90,0.30,0,1,6.0
417,1,6,1,16.7,0.05,0.17,0,0,0.8
418,1,13,2,15.4,0.11,0.08,0,0,0.6
419,0,0,0,,0.00,,0,0,0.0
420,0,4,0,0.0,0.00,0.00,0,0,0.3
421,3,23,5,21.7,0.22,0.13,0,0,0.7
422,0,0,0,,0.00,,0,0,0.0
423,1,15,4,26.7,0.19,0.07,0,0,1.3
424,9,102,32,31.4,1.07,0.08,1,1,8.1
425,2,43,11,25.6,0.43,0.02,1,1,3.3
426,4,42,15,35.7,0.62,0.10,0,0,5.1
427,1,46,14,30.4,0.70,0.02,0,0,3.7
428,13,83,37,44.6,1.27,0.16,0,0,13.9
429,0,7,2,28.6,0.20,0.00,0,0,0.3
430,0,3,2,66.7,1.10,0.00,0,0,0.4
431,0,0,0,,0.00,,0,0,0.0
432,0,8,2,25.0,0.14,0.00,0,0,0.3
433,1,16,4,25.0,0.17,0.06,0,0,1.0
434,0,0,0,,0.00,,0,0,0.0
435,2,44,8,18.2,0.23,0.05,0,0,2.6
436,0,4,0,0.0,0.00,0.00,0,0,0.1
437,0,18,7,38.9,0.72,0.00,0,0,1.4
438,2,16,4,25.0,0.38,0.13,0,0,0.9
439,0,7,2,28.6,0.63,0.00,0,0,1.3
440,6,47,14,29.8,0.40,0.06,3,4,7.0
441,0,15,4,26.7,0.30,0.00,0,0,0.5
442,5,43,14,32.6,0.63,0.12,0,0,2.4
443,0,0,0,,0.00,,0,0,0.0
444,6,42,16,38.1,0.58,0.14,0,0,5.8
445,3,17,7,41.2,0.22,0.18,0,0,1.1
446,1,35,11,31.4,0.57,0.03,0,0,2.0
447,0,19,1,5.3,0.03,0.00,0,0,0.8
448,3,24,8,33.3,1.08,0.13,0,0,1.9
449,2,15,6,40.0,0.92,0.07,1,1,2.5
450,21,72,33,45.8,1.01,0.26,2,2,15.6
451,0,4,2,50.0,0.32,0.00,0,0,0.2
452,0,1,0,0.0,0.00,0.00,0,0,0.0
453,6,50,14,28.0,0.87,0.12,0,0,6.3
454,1,13,4,30.8,0.51,0.08,0,0,1.9
455,2,20,2,10.0,0.06,0.10,0,0,2.0
456,0,5,0,0.0,0.00,0.00,0,0,0.2
457,1,17,6,35.3,0.86,0.06,0,0,1.7
458,0,4,0,0.0,0.00,0.00,0,0,0.2
459,1,35,12,34.3,0.89,0.03,0,0,4.9
460,0,15,3,20.0,0.43,0.00,0,0,0.9
461,1,20,9,45.0,0.30,0.05,0,0,2.7
462,0,0,0,,0.00,,0,0,0.0
463,0,6,2,33.3,0.20,0.00,0,0,0.5
464,4,44,12,27.3,0.35,0.09,0,0,3.6
465,0,3,0,0.0,0.00,0.00,0,0,0.1
466,2,14,8,57.1,0.49,0.14,0,0,1.3
467,1,17,4,23.5,0.20,0.06,0,0,1.6
468,0,0,0,,0.00,,0,0,0.0
469,1,3,1,33.3,0.05,0.33,0,0,0.5
470,2,31,8,25.8,0.60,0.06,0,0,3.2
471,2,17,5,29.4,0.16,0.12,0,0,1.3
472,0,10,2,20.0,0.42,0.00,0,0,0.6
473,2,14,3,21.4,0.45,0.14,0,0,0.8
474,3,48,11,22.9,0.37,0.06,0,0,3.0
475,1,9,1,11.1,0.15,0.11,0,0,0.5
476,0,2,1,50.0,0.04,0.00,0,0,0.3
477,4,28,10,35.7,1.49,0.11,1,1,7.6
478,11,39,14,35.9,0.51,0.08,8,8,8.4
479,0,13,3,23.1,0.16,0.00,0,0,0.5
480,0,4,0,0.0,0.00,0.00,0,0,0.2
481,0,0,0,,0.00,,0,0,0.0
482,0,5,1,20.0,0.04,0.00,0,0,0.3
483,0,9,3,33.3,0.11,0.00,0,0,0.4
484,2,5,2,40.0,0.14,0.40,0,0,0.4
485,1,10,4,40.0,0.86,0.10,0,0,1.2
486,1,7,3,42.9,1.11,0.14,0,0,0.6
487,1,1,1,100.0,0.16,1.00,0,0,0.1
488,0,0,0,,0.00,,0,0,0.0
489,0,7,0,0.0,0.00,0.00,0,0,0.2
490,0,1,0,0.0,0.00,0.00,0,0,0.1
491,0,9,0,0.0,0.00,0.00,0,0,0.5
492,1,12,2,16.7,0.16,0.08,0,0,0.8
493,3,13,3,23.1,0.12,0.23,0,0,2.0
494,5,19,8,42.1,0.59,0.26,0,0,1.8
495,2,15,6,40.0,0.80,0.13,0,0,1.9
496,4,48,14,29.2,0.61,0.08,0,2,6.6
497,0,3,0,0.0,0.00,0.00,0,0,0.1
498,6,23,9,39.1,0.62,0.22,1,2,4.5
499,1,19,3,15.8,0.13,0.05,0,0,0.7
500,0,5,0,0.0,0.00,0.00,0,0,0.6
501,0,8,2,25.0,0.09,0.00,0,0,0.4
502,0,2,0,0.0,0.00,0.00,0,0,0.1
503,0,3,0,0.0,0.00,0.00,0,0,0.1
504,0,3,2,66.7,1.26,0.00,0,0,0.1
505,1,21,7,33.3,0.68,0.05,0,0,2.9
506,1,1,1,100.0,0.45,1.00,0,0,0.2
507,11,109,40,36.7,1.37,0.09,1,2,11.3
508,3,15,6,40.0,0.23,0.20,0,0,0.9
509,0,2,0,0.0,0.00,0.00,0,0,0.2
510,0,1,0,0.0,0.00,0.00,0,0,0.1
511,0,11,2,18.2,0.14,0.00,0,0,0.3
512,1,7,2,28.6,0.20,0.14,0,0,0.5
513,4,38,17,44.7,1.02,0.11,0,0,3.8
514,0,7,2,28.6,0.10,0.00,0,0,0.7
515,3,50,11,22.0,0.49,0.06,0,0,3.5
516,0,0,0,,0.00,,0,0,0.0
517,0,0,0,,0.00,,0,0,0.0
518,0,7,1,14.3,0.06,0.00,0,0,0.3
519,0,1,0,0.0,0.00,0.00,0,0,0.0
520,0,0,0,,0.00,,0,0,0.0
521,0,11,2,18.2,0.08,0.00,0,0,0.4
522,0,0,0,,0.00,,0,0,0.0
523,0,1,1,100.0,1.80,0.00,0,0,0.1
524,1,6,2,33.3,0.10,0.17,0,0,0.4
525,2,6,4,66.7,0.30,0.33,0,0,1.3
526,0,1,0,0.0,0.00,0.00,0,0,0.4
527,1,38,11,28.9,0.61,0.03,0,0,3.0
528,0,0,0,,0.00,,0,0,0.0
529,0,0,0,,0.00,,0,0,0.0
530,0,0,0,,0.00,,0,0,0.0
531,0,1,0,0.0,0.00,0.00,0,0,0.3
532,0,4,2,50.0,0.10,0.00,0,0,0.2
533,1,17,5,29.4,0.46,0.06,0,0,1.5
534,0,0,0,,0.00,,0,0,0.0
535,0,0,0,,0.00,,0,0,0.0
536,1,8,4,50.0,0.47,0.13,0,0,0.4
537,1,8,2,25.0,0.18,0.13,0,0,0.6
538,0,8,3,37.5,0.15,0.00,0,0,0.7
539,0,0,0,,0.00,,0,0,0.0
540,0,5,2,40.0,2.20,0.00,0,0,0.4
541,0,23,5,21.7,0.16,0.00,0,0,2.9
542,1,17,1,5.9,0.03,0.06,0,1,1.7
543,0,0,0,,0.00,,0,0,0.0
544,0,0,0,,0.00,,0,0,0.0
545,1,6,4,66.7,0.55,0.17,0,0,1.3
546,4,37,15,40.5,0.90,0.11,0,0,4.2
547,0,8,2,25.0,0.09,0.00,0,0,0.7
548,3,38,13,34.2,0.93,0.08,0,0,3.1
549,0,0,0,,0.00,,0,0,0.0
550,0,1,0,0.0,0.00,0.00,0,0,0.0
551,0,9,2,22.2,0.13,0.00,0,0,0.3
552,1,13,2,15.4,0.07,0.08,0,0,0.8
553,0,10,1,10.0,0.05,0.00,0,0,0.4
554,0,0,0,,0.00,,0,0,0.0
555,0,3,1,33.3,0.33,0.00,0,0,0.1
556,1,25,8,32.0,0.50,0.04,0,0,1.5
557,13,64,26,40.6,1.17,0.20,0,0,9.6
558,2,5,2,40.0,0.49,0.40,0,0,1.8
559,0,4,1,25.0,0.34,0.00,0,0,0.6
560,0,18,5,27.8,0.17,0.00,0,0,1.7
561,12,45,20,44.4,1.20,0.27,0,0,7.2
562,4,24,13,54.2,0.88,0.17,0,0,2.7
563,0,2,1,50.0,0.26,0.00,0,0,0.1
